 "prop" , "support" ,
 "http://www.linkedmodel.org/schema/vaem#specificity" , "2" ,
 "http://www.w3.org/1999/xhtml/vocab#chapter" , "2" ,
 "http://www.w3.org/1999/xhtml/vocab#contents" , "2" ,
 "http://www.w3.org/1999/xhtml/vocab#last" , "2" ,
 "http://www.w3.org/1999/xhtml/vocab#section" , "2" ,
 "http://www.w3.org/1999/xhtml/vocab#subsection" , "2" ,
 "http://www.w3.org/2000/01/rdf-schema#sameAs" , "2" ,
 "http://www.w3.org/2002/07/owl#Declaration" , "2" ,
 "http://www.w3.org/2002/07/owl#equivalentClass" , "2" ,
 "urn:neoneo:vocab" , "2" ,
 "file:///home/dgarijo/Documents/GitHub/ontology_metadata_landscape_analysis/ontology_files/wild/ontologyIRI" , "1" ,
 "http://archivo.dbpedia.org/trackThis" , "1" ,
 "http://buzzword.org.uk/rdf/personal-link-types#edit" , "1" ,
 "http://creativecommons.org/ns#useGuidelines" , "1" ,
 "http://d3fend.mitre.org/ontologies/d3fend.owl#release-date" , "1" ,
 "http://dublincore.org/documents/dcmi-terms/contributor" , "1" ,
 "http://dublincore.org/documents/dcmi-terms/created" , "1" ,
 "http://dublincore.org/documents/dcmi-terms/creator" , "1" ,
 "http://dublincore.org/documents/dcmi-terms/date" , "1" ,
 "http://dublincore.org/documents/dcmi-terms/format" , "1" ,
 "http://dublincore.org/documents/dcmi-terms/language" , "1" ,
 "http://dublincore.org/documents/dcmi-terms/publisher" , "1" ,
 "http://dublincore.org/documents/dcmi-terms/title" , "1" ,
 "http://edamontology.org/next_id" , "1" ,
 "http://edg.topbraid.solutions/model/subjectArea" , "1" ,
 "http://empusa.org/0.1/codeProjectDescription" , "1" ,
 "http://empusa.org/0.1/codeProjectFullName" , "1" ,
 "http://empusa.org/0.1/codeProjectGroup" , "1" ,
 "http://empusa.org/0.1/codeProjectName" , "1" ,
 "http://empusa.org/0.1/codeProjectVersion" , "1" ,
 "http://example.com/owl/families/import/familyImport17/ontologyIRI" , "1" ,
 "http://isweb.uni-koblenz.de/cicero#ciceroProjectURL" , "1" ,
 "http://mmisw.org/ont/mmi/20081020/ontologyMetadata/hasContentCreator" , "1" ,
 "http://mmisw.org/ont/mmi/20081020/ontologyMetadata/hasResourceType" , "1" ,
 "http://mmisw.org/ont/mmi/20081020/ontologyMetadata/origMaintainerCode" , "1" ,
 "http://mmisw.org/ont/mmi/20081020/ontologyMetadata/origVocLastModified" , "1" ,
 "http://mmisw.org/ont/mmi/20081020/ontologyMetadata/origVocUri" , "1" ,
 "http://mmisw.org/ont/mmi/20081020/ontologyMetadata/origVocVersionId" , "1" ,
 "http://ns.nature.com/terms/webpage" , "1" ,
 "http://ns.ottr.xyz/0.4/status" , "1" ,
 "http://omv.ontoware.org/2005/05/ontology#conformsToKnowledgeRepresentationParadigm" , "1" ,
 "http://omv.ontoware.org/2005/05/ontology#creationDate" , "1" ,
 "http://omv.ontoware.org/2005/05/ontology#description" , "1" ,
 "http://omv.ontoware.org/2005/05/ontology#documentation" , "1" ,
 "http://omv.ontoware.org/2005/05/ontology#hasContributor" , "1" ,
 "http://omv.ontoware.org/2005/05/ontology#hasCreator" , "1" ,
 "http://omv.ontoware.org/2005/05/ontology#hasFormalityLevel" , "1" ,
 "http://omv.ontoware.org/2005/05/ontology#hasOntologyLanguage" , "1" ,
 "http://omv.ontoware.org/2005/05/ontology#hasOntologySyntax" , "1" ,
 "http://omv.ontoware.org/2005/05/ontology#keywords" , "1" ,
 "http://omv.ontoware.org/2005/05/ontology#name" , "1" ,
 "http://omv.ontoware.org/2005/05/ontology#reference" , "1" ,
 "http://omv.ontoware.org/2005/05/ontology#usedOntologyEngineeringMethodology" , "1" ,
 "http://omv.ontoware.org/2005/05/ontology#usedOntologyEngineeringTool" , "1" ,
 "http://protege.stanford.edu/webprotege/revision" , "1" ,
 "http://purl.1122org/ontology/bibo/status" , "1" ,
 "http://purl.obolibrary.org/MCO_0000382" , "1" ,
 "http://purl.obolibrary.org/obo/FOBI_050000" , "1" ,
 "http://purl.obolibrary.org/obo/FOBI_050001" , "1" ,
 "http://purl.obolibrary.org/obo/FOBI_050002" , "1" ,
 "http://purl.obolibrary.org/obo/FOBI_050003" , "1" ,
 "http://purl.obolibrary.org/obo/IAO_0000117" , "1" ,
 "http://purl.obolibrary.org/obo/IAO_0000118" , "1" ,
 "http://purl.obolibrary.org/obo/comment" , "1" ,
 "http://purl.obolibrary.org/obo/createdBy" , "1" ,
 "http://purl.obolibrary.org/obo/date" , "1" ,
 "http://purl.obolibrary.org/obo/format-version" , "1" ,
 "http://purl.obolibrary.org/obo/idspace" , "1" ,
 "http://purl.obolibrary.org/obo/remark" , "1" ,
 "http://purl.org/NET/uri#identifier" , "1" ,
 "http://purl.org/dc/dcmitype/InteractiveResource" , "1" ,
 "http://purl.org/dc/dcmitype/StillImage" , "1" ,
 "http://purl.org/dc/elements/1.1/LicenseDocument" , "1" ,
 "http://purl.org/dc/elements/1.1/accessRights" , "1" ,
 "http://purl.org/dc/elements/1.1/accrualMethod" , "1" ,
 "http://purl.org/dc/elements/1.1/accrualPeriodicity" , "1" ,
 "http://purl.org/dc/elements/1.1/accrualPolicy" , "1" ,
 "http://purl.org/dc/elements/1.1/audience" , "1" ,
 "http://purl.org/dc/elements/1.1/author" , "1" ,
 "http://purl.org/dc/elements/1.1/available" , "1" ,
 "http://purl.org/dc/elements/1.1/bibliographicCitation" , "1" ,
 "http://purl.org/dc/elements/1.1/conformsTo" , "1" ,
 "http://purl.org/dc/elements/1.1/createdBy" , "1" ,
 "http://purl.org/dc/elements/1.1/desription" , "1" ,
 "http://purl.org/dc/elements/1.1/isReferencedBy" , "1" ,
 "http://purl.org/dc/elements/1.1/isVersionOf" , "1" ,
