prop ,support_ontology ,support_concept_scheme ,
http://www.w3.org/1999/xhtml/vocab#stylesheet ,4,0,
http://www.w3.org/2004/02/skos/core#scopeNote ,4,0,
http://xmlns.com/foaf/0.1/isPrimaryTopicOf ,4,0,
http://xmlns.com/foaf/0.1/mbox ,4,0,
https://schema.org/creator ,4,0,
https://schema.org/license ,4,0,
https://w3id.org/linkml/generation_date ,4,0,
https://w3id.org/linkml/metamodel_version ,4,0,
https://w3id.org/linkml/source_file ,4,0,
https://w3id.org/linkml/source_file_date ,4,0,
https://w3id.org/linkml/source_file_size ,4,0,
http://www.w3.org/2004/02/skos/core#hasTopConcept ,4,130,
http://rdfs.org/ns/void#dataDump ,4,2,
http://www.w3.org/2004/02/skos/core#altLabel ,4,2,
http://www.w3.org/ns/dcat#distribution ,4,2,
http://id.loc.gov/vocabulary/relators/fnd ,3,0,
http://id.loc.gov/vocabulary/relators/pdr ,3,0,
http://purl.obolibrary.org/obo/IAO_0000597 ,3,0,
http://purl.org/dc/terms/format ,3,0,
http://purl.org/dc/terms/isReferencedBy ,3,0,
http://purl.org/vocab/vann/preferredNamespaceURI ,3,0,
http://purl.org/vocab/vann/termGroup ,3,0,
http://purl.org/vocommons/voaf#extends ,3,0,
http://purl.org/vocommons/voaf#reliesOn ,3,0,
http://schema.org/image ,3,0,
http://topbraid.org/swa#defaultNamespace ,3,0,
http://w3id.org/meta-share/meta-share/language ,3,0,
http://www.bbc.co.uk/ontologies/provenance/provided ,3,0,
http://www.bbc.co.uk/ontologies/provenance/provider ,3,0,
http://www.geneontology.org/formats/oboInOwl#treat-xrefs-as-genus-differentia ,3,0,
http://www.linkedmodel.org/schema/vaem#dateCreated ,3,0,
http://www.linkedmodel.org/schema/vaem#description ,3,0,
http://www.linkedmodel.org/schema/vaem#namespace ,3,0,
http://www.linkedmodel.org/schema/vaem#namespacePrefix ,3,0,
http://www.linkedmodel.org/schema/vaem#usesNonImportedResource ,3,0,
http://www.omg.org/techprocess/ab/SpecificationMetadata/relatedSpecification ,3,0,
http://www.ontologydesignpatterns.org/opla/reusesPatternAsTemplate ,3,0,
http://www.ontologydesignpatterns.org/schemas/cpannotationschema.owl#reengineeredFrom ,3,0,
http://www.w3.org/1999/02/22-rdf-syntax-ns#about ,3,0,
http://www.w3.org/1999/xhtml/vocab#bookmark ,3,0,
http://www.w3.org/2000/01/rdf-schema#isDefinedby ,3,0,
http://www.w3.org/2002/07/owl#ontologyIRI ,3,0,
http://www.w3.org/ns/adms#versionNotes ,3,0,
http://www.w3.org/ns/prov#alternateOf ,3,0,
https://schema.org/dateCreated ,3,0,
https://schema.org/dateIssued ,3,0,
https://schema.org/dateModified ,3,0,
https://schema.org/publisher ,3,0,
http://rdfs.org/ns/void#triples ,3,1,
http://www.w3.org/2004/02/skos/core#example ,3,1,
http://www.w3.org/ns/dcat#keyword ,3,1,
http://purl.org/pav/version ,3,42,
http://id.loc.gov/vocabulary/relators/ctb ,2,0,
http://omv.ontoware.org/2005/05/ontology#acronym ,2,0,
http://omv.ontoware.org/2005/05/ontology#designedForOntologyTask ,2,0,
http://purl.obolibrary.org/obo/IAO_0000589 ,2,0,
http://purl.org/dc/elements/1.1/Language ,2,0,
http://purl.org/dc/elements/1.1/coverage ,2,0,
http://purl.org/dc/terms#creator ,2,0,
http://purl.org/dc/terms#license ,2,0,
http://purl.org/dc/terms/dateCopyrighted ,2,0,
http://purl.org/dc/terms/decription ,2,0,
http://purl.org/dc/terms/lastModified ,2,0,
http://purl.org/dc/terms/licence ,2,0,
http://purl.org/dc/terms/version ,2,0,
http://purl.org/pav/lastUpdateOn ,2,0,
http://purl.org/vocab/frbr/core#complement ,2,0,
http://purl.org/vocommons/voaf#toDoList ,2,0,
http://rdfs.org/ns/void#classes ,2,0,
http://rdfs.org/ns/void#entities ,2,0,
http://rdfs.org/ns/void#properties ,2,0,
http://schema.org/schemaVersion ,2,0,
http://topbraid.org/metadata#status ,2,0,
http://usefulinc.com/ns/doap#download-page ,2,0,
http://usefulinc.com/ns/doap#mailing-list ,2,0,
http://usefulinc.com/ns/doap#wiki ,2,0,
http://voag.linkedmodel.org/schema/voag#hasLicenseType ,2,0,
http://voag.linkedmodel.org/schema/voag#withAttributionTo ,2,0,
http://www.geneontology.org/formats/oboInOwl#remark ,2,0,
http://www.geneontology.org/formats/oboInOwl#treat-xrefs-as-is_a ,2,0,
http://www.linkedmodel.org/schema/vaem#acronym ,2,0,
http://www.linkedmodel.org/schema/vaem#hasCatalogEntry ,2,0,
http://www.linkedmodel.org/schema/vaem#intent ,2,0,
http://www.linkedmodel.org/schema/vaem#lastUpdated ,2,0,
http://www.linkedmodel.org/schema/vaem#revisionNumber ,2,0,
http://www.linkedmodel.org/schema/vaem#specificity ,2,0,
http://www.w3.org/1999/xhtml/vocab#chapter ,2,0,
http://www.w3.org/1999/xhtml/vocab#contents ,2,0,
http://www.w3.org/1999/xhtml/vocab#last ,2,0,
http://www.w3.org/1999/xhtml/vocab#section ,2,0,
http://www.w3.org/1999/xhtml/vocab#subsection ,2,0,
http://www.w3.org/2000/01/rdf-schema#sameAs ,2,0,
http://www.w3.org/2002/07/owl#Declaration ,2,0,
urn:neoneo:vocab ,2,0,
http://rdfs.org/ns/void#uriSpace ,2,1,
http://schema.org/license ,2,1,
http://purl.org/dc/terms/isFormatOf ,2,10,
http://publications.europa.eu/ontology/euvoc#startDate ,2,2,
http://purl.org/linked-data/registry#notation ,2,2,
http://purl.org/linked-data/registry-ui#hierarchyChildProperty ,2,2,
http://purl.org/linked-data/registry-ui#hierarchyRootProperty ,2,2,
http://rdfs.org/ns/void#exampleResource ,2,2,
http://rdfs.org/ns/void#subset ,2,2,
http://purl.org/vocab/vann/usageNote ,2,3,
http://purl.org/dc/terms/relation ,2,4,
file:///home/dgarijo/Documents/GitHub/ontology_metadata_landscape_analysis/ontology_files/wild/ontologyIRI ,1,0,
http://archivo.dbpedia.org/trackThis ,1,0,
http://buzzword.org.uk/rdf/personal-link-types#edit ,1,0,
http://creativecommons.org/ns#useGuidelines ,1,0,
http://d3fend.mitre.org/ontologies/d3fend.owl#release-date ,1,0,
http://dublincore.org/documents/dcmi-terms/contributor ,1,0,
http://dublincore.org/documents/dcmi-terms/created ,1,0,
http://dublincore.org/documents/dcmi-terms/creator ,1,0,
http://dublincore.org/documents/dcmi-terms/date ,1,0,
http://dublincore.org/documents/dcmi-terms/format ,1,0,
http://dublincore.org/documents/dcmi-terms/language ,1,0,
http://dublincore.org/documents/dcmi-terms/publisher ,1,0,
http://dublincore.org/documents/dcmi-terms/title ,1,0,
