vocabURI,source
https://w3id.org/def/friends_ontology_rgarciarodriguez,rgarciarodriguez/friends_ontology
https://w3id.org/def/foundation,fcorcho/foundation
https://w3id.org/def/jnadalsa,jnadalsa/ontologyFringe
https://w3id.org/def/quermdfriendsOntology,quermd/friendsOntology
https://w3id.org/def/UOC_House_JAS_MIR,PruebaRana/RepresentacionDelConocimineto2
https://w3id.org/def/jbarrachinab,JoseVteB/TheWireOntology
https://w3id.org/def/isa-glomicave,aolite/isa-glomicave
https://w3id.org/def/gister-bibo,ahmad88me/ontologies_gister
https://w3id.org/def/gister-org,ahmad88me/ontologies_gister
https://w3id.org/def/gister-doap,ahmad88me/ontologies_gister
https://w3id.org/def/gister-wsg84_pos,ahmad88me/ontologies_gister
https://w3id.org/def/gister-ns,ahmad88me/ontologies_gister
https://w3id.org/def/gister-foaf,ahmad88me/ontologies_gister
https://w3id.org/def/gister-time,ahmad88me/ontologies_gister
https://w3id.org/def/vt,Kibukita/ontology-vt
https://w3id.org/def/vtcom,Kibukita/ontology-vtcom
https://w3id.org/def/SolidityABI,oeg-upm/Solidity-ABI-ontology
https://w3id.org/def/Group02,JavierSabin/OntologyPublication
https://w3id.org/def/w3idorgdefokladnikov2022tanks,Ko4eBHuK/Ontologies-and-Representation-of-Knowledge
https://w3id.org/def/system-of-fire-protection,zimkov/Systems-of-fire-protection.github.io
https://w3id.org/def/sargon,mhg-local/sargon
https://w3id.org/def/SARGON,mhg-local/SARGON
https://w3id.org/def/exekg-ml,nsai-uio/ExeKGOntology
https://w3id.org/def/exekg-visu,nsai-uio/ExeKGOntology
https://w3id.org/def/exekg-stats,nsai-uio/ExeKGOntology
https://w3id.org/def/w3idorgdefexekg-ds,nsai-uio/ExeKGOntology
