voc ,dist ,date 
http://purl.org/spar/pro ,https://lov.linkeddata.es/dataset/lov/vocabs/pro/versions/2010-11-17.n3 ,2010-11-17
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl ,https://lov.linkeddata.es/dataset/lov/vocabs/dul/versions/2012-07-13.n3 ,2012-07-13
http://purl.org/iot/vocab/m3-lite# ,https://lov.linkeddata.es/dataset/lov/vocabs/m3lite/versions/2017-07-29.n3 ,2017-07-29
http://purl.org/iot/vocab/m3-lite# ,https://lov.linkeddata.es/dataset/lov/vocabs/m3lite/versions/2016-04-25.n3 ,2016-04-25
http://www.observedchange.com/tisc/ns# ,https://lov.linkeddata.es/dataset/lov/vocabs/tisc/versions/2011-05-11.n3 ,2011-05-11
http://www.w3.org/2003/12/exif/ns ,https://lov.linkeddata.es/dataset/lov/vocabs/exif/versions/2003-08-19.n3 ,2003-08-19
http://rdaregistry.info/Elements/m ,https://lov.linkeddata.es/dataset/lov/vocabs/rdam/versions/2014-07-30.n3 ,2014-07-30
https://w3id.org/seas/StatisticsOntology ,https://lov.linkeddata.es/dataset/lov/vocabs/seas-stats/versions/2016-07-21.n3 ,2016-07-21
http://www.w3.org/ns/prov# ,https://lov.linkeddata.es/dataset/lov/vocabs/prov/versions/2012-07-24.n3 ,2012-07-24
http://www.kanzaki.com/ns/music ,https://lov.linkeddata.es/dataset/lov/vocabs/music/versions/2007-10-31.n3 ,2007-10-31
http://lod.taxonconcept.org/ontology/txn.owl ,https://lov.linkeddata.es/dataset/lov/vocabs/txn/versions/2012-07-05.n3 ,2012-07-05
http://lod.taxonconcept.org/ontology/txn.owl ,https://lov.linkeddata.es/dataset/lov/vocabs/txn/versions/2012-07-22.n3 ,2012-07-22
http://lod.taxonconcept.org/ontology/txn.owl ,https://lov.linkeddata.es/dataset/lov/vocabs/txn/versions/2012-09-10.n3 ,2012-09-10
http://lod.taxonconcept.org/ontology/txn.owl ,https://lov.linkeddata.es/dataset/lov/vocabs/txn/versions/2012-07-10.n3 ,2012-07-10
http://lod.taxonconcept.org/ontology/txn.owl ,https://lov.linkeddata.es/dataset/lov/vocabs/txn/versions/2013-05-20.n3 ,2013-05-20
http://lod.taxonconcept.org/ontology/txn.owl ,https://lov.linkeddata.es/dataset/lov/vocabs/txn/versions/2012-05-25.n3 ,2012-05-25
http://lod.taxonconcept.org/ontology/txn.owl ,https://lov.linkeddata.es/dataset/lov/vocabs/txn/versions/2012-09-20.n3 ,2012-09-20
http://lod.taxonconcept.org/ontology/txn.owl ,https://lov.linkeddata.es/dataset/lov/vocabs/txn/versions/2012-08-30.n3 ,2012-08-30
http://w3id.org/rsp/vocals# ,https://lov.linkeddata.es/dataset/lov/vocabs/vocals/versions/2017-12-10.n3 ,2017-12-10
http://salt.semanticauthoring.org/ontologies/sdo ,https://lov.linkeddata.es/dataset/lov/vocabs/sdo/versions/2009-06-16.n3 ,2009-06-16
http://www.w3.org/2002/12/cal/ical ,https://lov.linkeddata.es/dataset/lov/vocabs/cal/versions/2004-04-07.n3 ,2004-04-07
http://www.ebu.ch/metadata/ontologies/ebucore/ebucore ,https://lov.linkeddata.es/dataset/lov/vocabs/ebucore/versions/2015-08-04.n3 ,2015-08-04
http://www.rkbexplorer.com/ontologies/acm ,https://lov.linkeddata.es/dataset/lov/vocabs/acm/versions/2013-04-25.n3 ,2013-04-25
http://purl.org/vocab/relationship/ ,https://lov.linkeddata.es/dataset/lov/vocabs/rel/versions/2003-10-15.n3 ,2003-10-15
http://www.w3.org/2000/10/swap/pim/doc ,https://lov.linkeddata.es/dataset/lov/vocabs/doc/versions/2006-07-29.n3 ,2006-07-29
http://purl.org/spar/fabio ,https://lov.linkeddata.es/dataset/lov/vocabs/fabio/versions/2010-09-15.n3 ,2010-09-15
http://purl.org/spar/fabio ,https://lov.linkeddata.es/dataset/lov/vocabs/fabio/versions/2013-06-24.n3 ,2013-06-24
http://purl.org/spar/fabio ,https://lov.linkeddata.es/dataset/lov/vocabs/fabio/versions/2013-03-15.n3 ,2013-03-15
http://purl.org/spar/fabio ,https://lov.linkeddata.es/dataset/lov/vocabs/fabio/versions/2012-07-23.n3 ,2012-07-23
http://purl.org/spar/fabio ,https://lov.linkeddata.es/dataset/lov/vocabs/fabio/versions/2014-03-25.n3 ,2014-03-25
http://purl.org/spar/fabio ,https://lov.linkeddata.es/dataset/lov/vocabs/fabio/versions/2016-04-19.n3 ,2016-04-19
